T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
0.00,10.00,330.00,2.00,66.00,0,0,0,0,0,0
0.03,15.00,165.00,4.60,85.80,0,0,0,0,0,0
0.06,21.00,198.00,7.88,108.24,0,0,0,0,0,0
0.09,29.00,264.00,12.10,139.39,0,0,0,0,0,0
0.12,35.00,198.00,16.68,151.11,0,0,0,0,0,0
0.15,39.00,132.00,21.15,147.29,0,0,0,0,0,0
0.18,41.00,66.00,25.12,131.03,0,0,0,0,0,0
0.21,46.00,165.00,29.29,137.83,0,0,0,0,0,0
0.24,48.00,66.00,33.04,123.46,0,0,0,0,0,0
0.27,47.00,-33.00,35.83,92.17,0,0,0,0,0,0
0.30,55.00,264.00,39.66,126.53,0,0,0,0,0,0
0.33,63.00,264.00,44.33,154.03,0,0,0,0,0,0
0.36,72.00,297.00,49.86,182.62,0,0,0,0,0,0
0.39,80.00,264.00,55.89,198.90,0,0,0,0,0,0
0.42,87.00,231.00,62.11,205.32,0,0,0,0,0,0
0.45,92.00,165.00,68.09,197.25,0,0,0,0,0,0
0.48,99.00,231.00,74.27,204.00,0,0,0,0,0,0
0.52,106.00,231.00,80.62,209.40,106,0,0,0,0,0
0.55,124.00,594.00,89.29,286.32,0,0,0,0,0,0
0.58,141.00,561.00,99.64,341.26,0,0,0,0,0,0
0.61,156.00,495.00,110.91,372.01,0,0,0,0,0,0
0.64,166.00,330.00,121.93,363.61,0,0,0,0,0,0
0.67,174.00,264.00,132.34,343.68,0,0,0,0,0,0
0.70,183.00,297.00,142.47,334.35,0,0,0,0,0,0
0.73,190.00,231.00,151.98,313.68,0,0,0,0,0,0
0.76,199.00,297.00,161.38,310.34,0,0,0,0,0,0
0.79,210.00,363.00,171.11,320.87,0,0,0,0,0,0
0.82,219.00,297.00,180.68,316.10,0,0,0,0,0,0
0.85,227.00,264.00,189.95,305.68,0,0,0,0,0,0
0.88,237.00,330.00,199.36,310.54,0,0,0,0,0,0
0.91,247.00,330.00,208.89,314.43,0,0,0,0,0,0
0.94,256.00,297.00,218.31,310.95,0,0,0,0,0,0
0.97,263.00,231.00,227.25,294.96,0,0,0,0,0,0
1.00,271.00,264.00,236.00,288.77,0,0,0,0,0,0
1.03,279.00,264.00,244.60,283.81,0,0,0,0,0,0
1.06,287.00,264.00,253.08,279.85,0,0,0,0,0,0
1.09,295.00,264.00,261.46,276.68,0,0,0,0,0,0
