t,lat,lon
0.00,53.406600,-2.966500
0.03,53.406601,-2.966498
0.06,53.406603,-2.966496
0.09,53.406605,-2.966494
0.12,53.406607,-2.966492
0.15,53.406610,-2.966490
0.18,53.406612,-2.966488
0.21,53.406615,-2.966486
0.24,53.406618,-2.966484
0.27,53.406621,-2.966482
0.30,53.406624,-2.966480
0.33,53.406627,-2.966478
0.36,53.406631,-2.966476
0.39,53.406635,-2.966474
0.42,53.406639,-2.966472
0.45,53.406643,-2.966470
0.48,53.406648,-2.966468
0.51,53.406653,-2.966466
0.54,53.406658,-2.966464
0.57,53.406663,-2.966462
0.60,53.406669,-2.966460
0.63,53.406675,-2.966458
0.66,53.406681,-2.966456
0.69,53.406687,-2.966454
0.72,53.406694,-2.966452
0.75,53.406701,-2.966450
0.78,53.406708,-2.966448
0.81,53.406716,-2.966446
0.84,53.406724,-2.966444
0.87,53.406732,-2.966442
0.90,53.406740,-2.966440
0.93,53.406749,-2.966438
0.96,53.406758,-2.966436
0.99,53.406767,-2.966434
1.02,53.406776,-2.966432
1.05,53.406786,-2.966430
1.08,53.406796,-2.966428
1.11,53.406806,-2.966426
1.14,53.406816,-2.966424
1.17,53.406827,-2.966422
1.20,53.406838,-2.966420
1.23,53.406849,-2.966418
1.26,53.406860,-2.966416
1.29,53.406872,-2.966414
1.32,53.406884,-2.966412
1.35,53.406896,-2.966410
1.38,53.406908,-2.966408
1.41,53.406921,-2.966406
1.44,53.406934,-2.966404
1.47,53.406947,-2.966402
1.50,53.406960,-2.966400
1.53,53.406974,-2.966398
1.56,53.406988,-2.966396
1.59,53.407002,-2.966394
1.62,53.407016,-2.966392
1.65,53.407031,-2.966390
1.68,53.407046,-2.966388
1.71,53.407061,-2.966386
1.74,53.407076,-2.966384
1.77,53.407092,-2.966382
1.80,53.407108,-2.966380
1.83,53.407124,-2.966378
1.86,53.407140,-2.966376
1.89,53.407157,-2.966374
1.92,53.407174,-2.966372
1.95,53.407191,-2.966370
2.00,53.407208,-2.966368
2.03,53.407226,-2.966366
2.06,53.407244,-2.966364
2.09,53.407262,-2.966362
2.12,53.407280,-2.966360
2.15,53.407299,-2.966358
2.18,53.407318,-2.966356
2.21,53.407337,-2.966354
2.24,53.407356,-2.966352
2.27,53.407376,-2.966350
2.30,53.407396,-2.966348
2.33,53.407416,-2.966346
2.36,53.407436,-2.966344
2.39,53.407457,-2.966342
2.42,53.407478,-2.966340
2.45,53.407499,-2.966338
2.48,53.407520,-2.966336
2.51,53.407542,-2.966334
2.54,53.407564,-2.966332
2.57,53.407586,-2.966330
2.60,53.407608,-2.966328
2.63,53.407631,-2.966326
2.66,53.407654,-2.966324
2.69,53.407677,-2.966322
2.72,53.407700,-2.966320
2.75,53.407724,-2.966318
2.78,53.407748,-2.966316
2.81,53.407772,-2.966314
2.84,53.407796,-2.966312
2.87,53.407821,-2.966310
2.90,53.407846,-2.966308
2.93,53.407871,-2.966306
2.96,53.407896,-2.966304
2.99,53.407921,-2.966302
