t,lat,lon
0.0,53.406200,-2.966700
0.5,53.406220,-2.966690
1.0,53.406250,-2.966680
1.5,53.406300,-2.966670
2.0,53.406380,-2.966660
2.5,53.406500,-2.966650
3.0,53.406650,-2.966640
3.5,53.406850,-2.966620
4.0,53.407100,-2.966590
4.5,53.407400,-2.966350
5.0,53.407750,-2.966300
5.5,53.408100,-2.966220
6.0,53.408400,-2.966120
6.5,53.408600,-2.966000
7.0,53.408750,-2.965850
7.5,53.408820,-2.965700
8.0,53.408800,-2.965550
8.5,53.408680,-2.965420
9.0,53.408450,-2.965300
9.5,53.408150,-2.965220
10.0,53.407800,-2.965200
10.5,53.407450,-2.965260
11.0,53.407150,-2.965400
11.5,53.406950,-2.965600
12.0,53.406850,-2.965850
12.5,53.406830,-2.966100
13.0,53.406880,-2.966350
13.5,53.406980,-2.966600
14.0,53.407100,-2.966850
14.5,53.407200,-2.967050
15.0,53.407250,-2.967200
15.5,53.407220,-2.967320
16.0,53.407100,-2.967420
16.5,53.406900,-2.967500
17.0,53.406650,-2.967520
17.5,53.406400,-2.967450
18.0,53.406180,-2.967300
18.5,53.406020,-2.967100
19.0,53.405920,-2.966900
19.5,53.405880,-2.966700
20.0,53.405900,-2.966520
20.5,53.405960,-2.966350
21.0,53.406050,-2.966200
21.5,53.406130,-2.966050
22.0,53.406180,-2.965900
22.5,53.406170,-2.965760
23.0,53.406090,-2.965650
23.5,53.405980,-2.965560
24.0,53.405820,-2.965500
24.5,53.405650,-2.965480
25.0,53.405500,-2.965520
25.5,53.405400,-2.965620
26.0,53.405350,-2.965780
26.5,53.405360,-2.965980
27.0,53.405420,-2.966200
27.5,53.405530,-2.966420
28.0,53.405670,-2.966650
28.5,53.405800,-2.966880
29.0,53.405900,-2.967100
29.5,53.405950,-2.967300
30.0,53.405940,-2.967480
30.5,53.405870,-2.967620
31.0,53.405740,-2.967700
31.5,53.405560,-2.967720
32.0,53.405350,-2.967680
32.5,53.405150,-2.967580
33.0,53.405000,-2.967420
33.5,53.404920,-2.967220
34.0,53.404900,-2.967000
34.5,53.404940,-2.966760
35.0,53.405020,-2.966520
35.5,53.405130,-2.966300
36.0,53.405250,-2.966100
36.5,53.405350,-2.965920
37.0,53.405420,-2.965760
37.5,53.405440,-2.965620
38.0,53.405400,-2.965500
38.5,53.405300,-2.965420
39.0,53.405150,-2.965380
39.5,53.404980,-2.965400
40.0,53.404800,-2.965480
40.5,53.404650,-2.965620
41.0,53.404550,-2.965820
41.5,53.404500,-2.966050
42.0,53.404520,-2.966300
42.5,53.404600,-2.966550
43.0,53.404730,-2.966780
43.5,53.404900,-2.967000
44.0,53.405080,-2.967180
44.5,53.405250,-2.967300
45.0,53.405380,-2.967360
45.5,53.405440,-2.967350
46.0,53.405220,-2.967280
46.5,53.405120,-2.967150
47.0,53.404950,-2.966980
47.5,53.404750,-2.966780
48.0,53.404550,-2.966560
48.5,53.404350,-2.966340
49.0,53.404180,-2.966140
49.5,53.404060,-2.965980
50.0,53.404000,-2.965860
