t,lat,lon
0.0,52.668000,-1.524500
0.5,52.668020,-1.524490
1.0,52.668050,-1.524480
1.5,52.668100,-1.524470
2.0,52.668180,-1.524460
2.5,52.668300,-1.524450
3.0,52.668450,-1.524440
3.5,52.668650,-1.524420
4.0,52.668900,-1.524390
4.5,52.669200,-1.524350
5.0,52.669550,-1.524300
5.5,52.669900,-1.524220
6.0,52.670200,-1.524120
6.5,52.670400,-1.524000
7.0,52.670550,-1.523850
7.5,52.670620,-1.523700
8.0,52.670600,-1.523550
8.5,52.670480,-1.523420
9.0,52.670250,-1.523300
9.5,52.669950,-1.523220
10.0,52.669600,-1.523200
10.5,52.669250,-1.523260
11.0,52.668950,-1.523400
11.5,52.668750,-1.523600
12.0,52.668650,-1.523850
12.5,52.668630,-1.524100
13.0,52.668680,-1.524350
13.5,52.668780,-1.524600
14.0,52.668900,-1.524850
14.5,52.669000,-1.525050
15.0,52.669050,-1.525200
15.5,52.669020,-1.525320
16.0,52.668900,-1.525420
16.5,52.668700,-1.525500
17.0,52.668450,-1.525520
17.5,52.668200,-1.525450
18.0,52.667980,-1.525300
18.5,52.667820,-1.525100
19.0,52.667720,-1.524900
19.5,52.667680,-1.524700
20.0,52.667700,-1.524520
20.5,52.667760,-1.524350
21.0,52.667850,-1.524200
21.5,52.667930,-1.524050
22.0,52.667980,-1.523900
22.5,52.667970,-1.523760
23.0,52.667900,-1.523650
23.5,52.667780,-1.523560
24.0,52.667620,-1.523500
24.5,52.667450,-1.523480
25.0,52.667300,-1.523520
25.5,52.667200,-1.523620
26.0,52.667150,-1.523780
26.5,52.667160,-1.523980
27.0,52.667220,-1.524200
27.5,52.667330,-1.524420
28.0,52.667470,-1.524650
28.5,52.667600,-1.524880
29.0,52.667700,-1.525100
29.5,52.667750,-1.525300
30.0,52.667740,-1.525480
30.5,52.667670,-1.525620
31.0,52.667540,-1.525700
31.5,52.667360,-1.525720
32.0,52.667150,-1.525680
32.5,52.666950,-1.525580
33.0,52.666800,-1.525420
33.5,52.666720,-1.525220
34.0,52.666700,-1.525000
34.5,52.666740,-1.524760
35.0,52.666820,-1.524520
35.5,52.666930,-1.524300
36.0,52.667050,-1.524100
36.5,52.667150,-1.523920
37.0,52.667220,-1.523760
37.5,52.667240,-1.523620
38.0,52.667200,-1.523500
38.5,52.667100,-1.523420
39.0,52.666950,-1.523380
39.5,52.666780,-1.523400
40.0,52.666600,-1.523480
40.5,52.666450,-1.523620
41.0,52.666350,-1.523820
41.5,52.666300,-1.524050
42.0,52.666320,-1.524300
42.5,52.666400,-1.524550
43.0,52.666530,-1.524780
43.5,52.666700,-1.525000
44.0,52.666880,-1.525180
44.5,52.667050,-1.525300
45.0,52.667180,-1.525360
45.5,52.667240,-1.525350
46.0,52.667220,-1.525280
46.5,52.667120,-1.525150
47.0,52.666950,-1.524980
47.5,52.666750,-1.524780
48.0,52.666550,-1.524560
48.5,52.666350,-1.524340
49.0,52.666180,-1.524140
49.5,52.666060,-1.523980
50.0,52.666000,-1.523860
